dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,tema,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,assuntoGeral,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,regime,local,arquivamento,legislacaoCitada,autoresEstruturados,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao,observacao
Remissivo,PROJETO DE LEI,PL,3955,1966,GOVERNADOR DO ESTADO,"DISPÕE SOBRE A ESTRUTURA DA SECRETARIA DE ESTADO DO TRABALHO E AÇÃO
SOCIAL E DÁ OUTRAS PROVIDÊNCIAS.",ADMINISTRAÇÃO PÚBLICA,"DISPOSITIVOS, ESTRUTURA, ORGANIZAÇÃO ADMINISTRATIVA, SECRETARIA DE
ESTADO DO TRABALHO E AÇÃO SOCIAL.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1967-01-04,000151170,PL. 3955 1966 - PROJETO DE LEI,,"ORGANIZAÇÃO ADMINISTRATIVA
SECRETARIA DE ESTADO
TRABALHO EMPREGO E RENDA",LEI 4429 1967 - LEI ORDINÁRIA,20170824,1605,m20993,1966-12-30,"list(passo = 1, data = ""1966-12-30"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 26 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 1 1967\nCOMISSÕES:\nJUSTIÇA, FINANÇAS E SERVIÇO PÚBLICO (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. LADISLAU SALLES\nPUBLICAÇÃO: 25 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. BATISTA MIRANDA\nPUBLICAÇÃO: 28 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),"list(descricao = ""MSG 1223 1966"")",N,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/4429/1967,LEI 4429 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3954,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL DE CR$ 19.561.072, À
SECRETARIA DE ESTADO DA AGRICULTURA.",NA,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DA AGRICULTURA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-05,000151166,PL. 3954 1966 - PROJETO DE LEI,,CRÉDITO,NA,20101209,1755,m17461,1966-12-30,"list(passo = 1, data = ""1966-12-30"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. SOUSA E SILVA\nPUBLICAÇÃO: 24 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ MARIA MAGALHÃES\nPUBLICAÇÃO: 10 2 1967\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),"list(descricao = ""MSG 1222 1966"")",N,DELIBERAÇÃO DE PLENÁRIO,ARQUIVO,19670131,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3953,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL, NO VALOR DE
CR$ 140.057.891,00, A SECRETARIA DAS COMUNICAÇÕES E OBRAS
PÚBLICAS.",NA,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DAS COMUNICAÇÕES E OBRAS
PÚBLICAS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1967-01-05,000151167,PL. 3953 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4431 1967 - LEI ORDINÁRIA,20101209,1754,m17461,1966-12-30,"list(passo = 1, data = ""1966-12-30"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. GERALDO QUINTÃO\nPUBLICAÇÃO: 24 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: 28 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),"list(descricao = ""MSG 1221 1966"")",N,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/4431/1967,LEI 4431 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3952,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL, NO VALOR DE CR$ 61.000.000,00 À
SECRETARIA DE ESTADO DA FAZENDA.",FINANÇAS PÚBLICAS,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DA FAZENDA (SEF).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1967-01-05,000151168,PL. 3952 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4417 1967 - LEI ORDINÁRIA,20160301,1537,malves,1966-12-31,"list(passo = 1, data = ""1966-12-31"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. LÚCIO DE SOUZA CRUZ\nPUBLICAÇÃO: 24 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERARDO GROSSI\nPUBLICAÇÃO: 27 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 2 1967"")",list(),list(),"list(descricao = ""MSG 1220 1966"")",N,DELIBERAÇÃO DE PLENÁRIO,NA,NA,NA,NULL,/legislacao/mineira/LEI/4417/1967,LEI 4417 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3951,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL NO VALOR DA
CR$3.235.621, A SECRETARIA DE ESTADO DA EDUCAÇÃO.",NA,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DE EDUCAÇÃO (SEE).",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-05,000151169,PL. 3951 1966 - PROJETO DE LEI,,CRÉDITO,NA,20101209,1752,m17461,1966-12-30,"list(passo = 1, data = ""1966-12-30"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. FLORIVALDO DIAS\nPUBLICAÇÃO: 24 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: NÃO CONSTA\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),"list(descricao = ""MSG 1219 1966"")",N,NA,ARQUIVO,19670131,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3949,1966,COMISSÃO EXECUTIVA,"ESTABELECE NORMAS PARA APRECIAÇÃO DO NOME PROPOSTO PARA
PREFEITO DA CAPITAL.",NA,"NORMAS, APRECIAÇÃO, INDICAÇÃO, CARGO PÚBLICO, PREFEITO, MUNICÍPIO, BELO
HORIZONTE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1966-12-30,000151175,PL. 3949 1966 - PROJETO DE LEI,,"EXECUTIVO
PESSOAL",NA,20130107,1149,vitoria,1966-12-29,"list(passo = 1, data = ""1966-12-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 19 1 1967, COM EMENDAS\nEMENDAS PUBLICADAS EM 21 1 1967\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),NULL,N,NA,ARQUIVO,19670131,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3948,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"REESTRUTURA O QUADRO DOS FUNCIONÁRIOS DOS SERVIÇOS ADMINISTRATIVOS DO
TRIBUNAL DE JUSTIÇA E DÁ OUTRAS PROVIDÊNCIAS.",ADMINISTRAÇÃO PÚBLICA,"REESTRUTURAÇÃO, QUADRO DE PESSOAL, SERVIÇOS ADMINISTRATIVOS, TRIBUNAL
DE JUSTIÇA DO ESTADO DE MINAS GERAIS (TJMG).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1967-01-04,000151171,PL. 3948 1966 - PROJETO DE LEI,,"PESSOAL
TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS (TJMG)",LEI 4380 1967 - LEI ORDINÁRIA,20160309,1233,m20993,1966-12-29,"list(passo = 1, data = ""1966-12-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 29 12 1966\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 24 1 1967, COM SUBSTITUTIVO E EMENDAS\nEMENDAS PUBLICADAS EM 21 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nEXECUTIVA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. RENNY RABELO\nPUBLICAÇÃO: (NÃO CONSTA)\nEXECUTIVA\nPARECER SOBRE EMENDAS\nRELATOR: DEP. RENNY RABELO\nPUBLICAÇÃO: (NÃO CONSTA)\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERARDO GROSSI\nPUBLICAÇÃO: 27 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 28 1 1967"")",list(),list(),NULL,N,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/4380/1967,LEI 4380 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3947,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"DISPÕE SOBRE CRITÉRIOS PARA DENOMINAÇÃO DE ESTABELECIMENTOS E PRÓPRIOS
DO ESTADO.",NA,"NORMAS, DENOMINAÇÃO, PRÓPRIO PÚBLICO, ÓRGÃO PÚBLICO, ESTABELECIMENTO,
PRÉDIO, PONTE, RODOVIA, PATRIMÔNIO ESTADUAL.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-12-31,000151173,PL. 3947 1966 - PROJETO DE LEI,,PRÓPRIO PÚBLICO,LEI 4426 1967 - LEI ORDINÁRIA,20120329,1615,rosanacf,1966-12-29,"list(passo = 1, data = ""1966-12-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JEOVAH SANTOS\nPUBLICAÇÃO: 24 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: 27 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),"list(descricao = ""MSG 1218 1966"")",N,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/4426/1967,LEI 4426 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3946,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL À SECRETARIA DE ESTADO DA
FAZENDA, NO VALOR DE CR$3.000.000, PARA AUXÍLIO À PREFEITURA MUNICIPAL
DE PITANGUI.",FINANÇAS PÚBLICAS,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DA FAZENDA (SEF).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-12-31,000151174,PL. 3946 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4427 1967 - LEI ORDINÁRIA,20160301,1539,malves,1966-12-29,"list(passo = 1, data = ""1966-12-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. MARTINS SILVEIRA\nPUBLICAÇÃO: 24 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: 28 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),"list(descricao = ""MSG 1216 1966"")",N,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/4427/1967,LEI 4427 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3942,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"REVIGORA CRÉDITO ESPECIAL DE CR$317.400.000 ABERTO À SECRETARIA DA
FAZENDA, PARA INTEGRALIZAÇÃO DO CAPITAL DO BANCO DE DESENVOLVIMENTO DE
MINAS GERAIS. (LEI 3719, DE 10 12 1965)",FINANÇAS PÚBLICAS,"REVIGORAÇÃO, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DE FAZENDA (SEF),
OBJETIVO, INTEGRALIZAÇÃO, CAPITAL SOCIAL, BANCO DE DESENVOLVIMENTO DE
MINAS GERAIS S/A (BDMG).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-12-27,000151176,PL. 3942 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4409 1967 - LEI ORDINÁRIA,20160614,1539,malves,1966-12-23,"list(passo = 1, data = ""1966-12-23"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO:\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 23 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 25 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JAIRO MAGALHÃES\nPUBLICAÇÃO: 19 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: 26 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 2 1967"")",list(),list(),"list(descricao = ""MSG 1215 1966"")",N,NA,NA,NA,LEI 3719 1965 - LEI ORDINÁRIA,NULL,/legislacao/mineira/LEI/4409/1967,LEI 4409 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3941,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL DE R$ 92.328.325,00 À
SECRETARIA DE ESTADO DA SAÚDE.",NA,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DE SAÚDE (SES).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-12-27,000151177,PL. 3941 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4435 1967 - LEI ORDINÁRIA,20101209,1750,m17461,1966-12-23,"list(passo = 1, data = ""1966-12-23"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 23 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 25 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. MARTINS SILVEIRA\nPUBLICAÇÃO: 19 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERARDO GROSSI\nPUBLICAÇÃO: 26 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),"list(descricao = ""MSG 1214 1966"")",N,DELIBERAÇÃO DE PLENÁRIO,NA,NA,NA,NULL,/legislacao/mineira/LEI/4435/1967,LEI 4435 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3940,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL DE CR$ 25.507.177 À
SECRETARIA DE ESTADO DA EDUCAÇÃO.",NA,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DE EDUCAÇÃO (SEE).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-12-27,000151178,PL. 3940 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4411 1967 - LEI ORDINÁRIA,20101209,1749,m17461,1966-12-23,"list(passo = 1, data = ""1966-12-23"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 23 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. SOUSA E SILVA\nPUBLICAÇÃO: 19 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ MARIA MAGALHÃES\nPUBLICAÇÃO: 27 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 2 1967"")",list(),list(),"list(descricao = ""MSG 1213 1966"")",N,DELIBERAÇÃO DE PLENÁRIO,NA,NA,NA,NULL,/legislacao/mineira/LEI/4411/1967,LEI 4411 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3939,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,DISPÕE SOBRE A COBRANÇA DE TAXAS ESTADUAIS.,NA,"DISPOSITIVOS, COBRANÇA, TAXA ESTADUAL.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1966-12-23,000151182,PL. 3939 1966 - PROJETO DE LEI,,TRIBUTOS,NA,20130107,1146,vitoria,1966-12-21,"list(passo = 1, data = ""1966-12-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),"list(descricao = ""MSG 1209 1966"")",N,NA,ARQUIVO,19670131,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3938,1966,DEPUTADO VALDIR MELGAÇO                    UDN,"DÁ DENOMINAÇÃO A REGISTRO DE PROFESSORES DO ENSINO NORMAL NA SECRETARIA
DA EDUCAÇÃO (DECRETO 5296, DE 10 7 1957).","ADMINISTRAÇÃO PÚBLICA
EDUCAÇÃO","DISPOSITIVOS, REGISTRO, PROFESSOR, ESTABELECIMENTO DE ENSINO, ENSINO
NORMAL, ENSINO PÚBLICO ESTADUAL.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1966-12-24,000151181,PL. 3938 1966 - PROJETO DE LEI,720,"SECRETARIA DE ESTADO
EDUCAÇÃO
PESSOAL",NA,20140218,1506,rosanacf,1966-12-22,"list(passo = 1, data = ""1966-12-22"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 19 1 1967\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),NULL,N,NA,ARQUIVO,19670131,DEC 5296 1957 - DECRETO,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3937,1966,DEPUTADO MANOEL COSTA                      PSD,"MODIFICA O ART. 1 DA LEI 4150, DE 6 DE MAIO DE 1966.",NA,"ALTERAÇÃO, DISPOSITIVOS, LEI ESTADUAL, AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO,
TERRENO, LOCALIDADE, CIDADE INDUSTRIAL, MUNICÍPIO, CONTAGEM, CONSTRUÇÃO,
SEDE, INSTITUIÇÃO ASSISTENCIAL.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1966-12-23,000151183,PL. 3937 1966 - PROJETO DE LEI,326,IMÓVEL,NA,20130107,1146,vitoria,1966-12-21,"list(passo = 1, data = ""1966-12-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 30 12 1966\nARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO A REQUERIMENTO DO DEP. HOMERO DOS SANTOS,\nRECEBEU O NÚMERO PL 102 1967."")","list(expressao = ""(PL adj '102' adj 1967[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 102 1967"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%27102%27+adj+1967%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 102, ano = 1967)",list(),NULL,N,NA,ARQUIVO,19670131,LEI 4150 1966 - LEI ORDINÁRIA,"list(id = 326, nome = ""DEPUTADO MANOEL COSTA"", partido = ""PSD"")",NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3936,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL À SECRETARIA DE ESTADO DA
FAZENDA, COM DESTINAÇÃO À COMISSÃO DE DESENVOLVIMENTO DO VALE DO
JEQUITINHONHA CODEVALE.",FINANÇAS PÚBLICAS,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DA FAZENDA (SEF).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-12-23,000151184,PL. 3936 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4398 1967 - LEI ORDINÁRIA,20160301,1540,malves,1966-12-21,"list(passo = 1, data = ""1966-12-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 23 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 24 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JAIRO MAGALHÃES\nPUBLICAÇÃO: 19 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ MARIA MAGALHÃES\nPUBLICAÇÃO: 25 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 2 1967"")",list(),list(),"list(descricao = ""MSG 1208 1966"")",N,DELIBERAÇÃO DE PLENÁRIO,NA,NA,NA,NULL,/legislacao/mineira/LEI/4398/1967,LEI 4398 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3935,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DO CRÉDITO ESPECIAL DE CR$ 368.055 À
SECRETARIA DE ESTADO DO TRABALHO E AÇÃO SOCIAL.",NA,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DO TRABALHO E AÇÃO
SOCIAL.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-12-23,000151185,PL. 3935 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4432 1966 - LEI ORDINÁRIA,20101209,1747,m17461,1966-12-21,"list(passo = 1, data = ""1966-12-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO:\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 23 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 25 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. SEBASTIÃO ANASTÁCIO\nPUBLICAÇÃO: 19 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: 26 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967."")",list(),list(),"list(descricao = ""MSG 1207 1966"")",N,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/4432/1966,LEI 4432 1966 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3933,1966,GOVERNADOR ISRAEL PINHEIRO DA SILVA,"AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL DE CR$ 2.537.914 AO
GABINETE CIVIL DO GOVERNADOR.",NA,"ABERTURA, CRÉDITO ESPECIAL, GABINETE CIVIL DO GOVERNADOR.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-12-23,000151186,PL. 3933 1966 - PROJETO DE LEI,,CRÉDITO,LEI 4434 1967 - LEI ORDINÁRIA,20101209,1746,m17461,1966-12-21,"list(passo = 1, data = ""1966-12-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 23 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 25 1 1967\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. GERARDO GROSSI\nPUBLICAÇÃO: 19 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERARDO GROSSI\nPUBLICAÇÃO: 26 1 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 2 1967"")",list(),list(),"list(descricao = ""MSG 1205 1966"")",N,DELIBERAÇÃO DE PLENÁRIO,NA,NA,NA,NULL,/legislacao/mineira/LEI/4434/1967,LEI 4434 1967 - LEI ORDINÁRIA,NA,NA
