dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,assuntoGeral,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,local,arquivamento,legislacaoCitada,tema,regime,linksOrigem,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao,observacao
Remissivo,PROJETO DE LEI,PL,1026,1968,DEPUTADO JAIRO MAGALHÃES                   ARENA,"DÁ DENOMINAÇÃO DE PROFESSOR LEOPOLDO MIRANDA AO COLÉGIO ESTADUAL DE
DIAMANTINA.","DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, DIAMANTINA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1968-12-03,000150263,PL. 1026 1968 - PROJETO DE LEI,737,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",LEI 5175 1969 - LEI ORDINÁRIA,20120403,1451,rosanacf,1968-11-29,"list(passo = 1, data = ""1968-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 7 3 1968\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 28 3 1969\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 16 4 1969\nREDAÇÃO FINAL\nAPROVAÇÃO: 23 4 1969\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MÁRIO ASSAD\nPUBLICAÇÃO: 27 3 1969\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. MÁRIO ASSAD\nPUBLICAÇÃO: 15 4 1969\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 23 4 1969\nSANCIONADO\nPUBLICAÇÃO DA LEI: 7 5 1969."")",list(),list(),N,"list(id = 737, nome = ""DEPUTADO JAIRO MAGALHÃES"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/5175/1969,LEI 5175 1969 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1025,1968,DEPUTADO HOMERO DOS SANTOS                 ARENA,"DECLARA DE UTILIDADE PÚBLICA A INSTITUIÇÃO CRISTÃ DE ASSISTÊNCIA SOCIAL
DE UBERLÂNDIA, COM SEDE EM UBERLÂNDIA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, UBERLÂNDIA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-12-03,000150264,PL. 1025 1968 - PROJETO DE LEI,712,UTILIDADE PÚBLICA,NA,20120203,1606,rosanacf,1968-11-29,"list(passo = 1, data = ""1968-11-29"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 712, nome = ""DEPUTADO HOMERO DOS SANTOS"", partido = ""ARENA"")",ARQUIVO,19710131,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1024,1968,DEPUTADO BONIFÁCIO DE ANDRADA              ARENA,"MODIFICA A LEI 2850, DE 29 8 1963. (DEFINE COMO CONTRIBUINTE
OBRIGATÓRIO DO IPSEMG SOMENTE O SERVIDOR QUE TIVER COMPLETADO O
PERÍODO DE CARÊNCIA, PARA EFEITO DE CONCESSÃO DE PENSÃO.)","ALTERAÇÃO, LEI ESTADUAL, NORMAS, CONCESSÃO, PENSÃO ESPECIAL,
FAMÍLIA,
SERVIDOR PÚBLICO ESTADUAL.
ALTERAÇÃO, DISPOSITIVOS, DEFINIÇÃO, CONTRIBUINTE OBRIGATÓRIO,
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS
GERAIS (IPSEMG).",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-12-03,000150265,PL. 1024 1968 - PROJETO DE LEI,281,INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS (IPSEMG),NA,20161221,1049,zigoni,1968-11-29,"list(passo = 1, data = ""1968-11-29"", local = ""PLENÁRIO"", historico = ""PLENÁRIO\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 6 3 1969\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 281, nome = ""DEPUTADO BONIFÁCIO DE ANDRADA"", partido = ""ARENA"")",ARQUIVO,19710131,LEI 2850 1963 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1023,1968,DEPUTADO RAUL BELÉM                        MDB,DISPÕE SOBRE A MOVIMENTAÇÃO BANCÁRIA DOS FUNDOS PÚBLICOS ESTADUAIS.,"DISPOSITIVOS, MOVIMENTAÇÃO, CONTA BANCÁRIA, FUNDO ESTADUAL.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-12-03,000150266,PL. 1023 1968 - PROJETO DE LEI,1188,"FINANÇAS PÚBLICAS
FUNDO ESTADUAL",NA,20151027,1342,malves,1968-11-29,"list(passo = 1, data = ""1968-11-29"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1188, nome = ""DEPUTADO RAUL BELÉM"", partido = ""MDB"")",ARQUIVO,19710131,NA,"ADMINISTRAÇÃO PÚBLICA
FINANÇAS PÚBLICAS",NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1022,1968,DEPUTADO WALTHON GOULART                   ARENA,"DÁ AO FÓRUM DA COMARCA DE EUGENÓPOLIS A DENOMINAÇÃO DE GREGÓRIO
RODRIGUES CALDAS.","DENOMINAÇÃO, FÓRUM, COMARCA DE EUGENÓPOLIS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-11-30,000150267,PL. 1022 1968 - PROJETO DE LEI,348,PRÓPRIO PÚBLICO,NA,20120403,1450,rosanacf,1968-11-28,"list(passo = 1, data = ""1968-11-28"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 348, nome = ""DEPUTADO WALTHON GOULART"", partido = ""ARENA"")",ARQUIVO,19710131,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1021,1968,GOVERNADOR DO ESTADO,"CRIA CURSO COLEGIAL COMERCIAL EM ESTABELECIMENTO OFICIAL DE ENSINO DA
CIDADE DE DOM CAVATI, COM DENOMINAÇÃO DE COLÉGIO ESTADUAL DE DOM
CAVATI.","DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, DOM CAVATI.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1968-11-30,000150268,PL. 1021 1968 - PROJETO DE LEI,,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",LEI 5165 1969 - LEI ORDINÁRIA,20120403,1449,rosanacf,1968-11-28,"list(passo = 1, data = ""1968-11-28"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 24 3 1969\nREDAÇÃO FINAL\nAPROVAÇÃO: 7 4 1969\nCOMISSÕES:\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JOÃO FERRAZ\nPUBLICAÇÃO: 21 3 1969\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 1 4 1969\nSANCIONADO\nPUBLICAÇÃO DA LEI: 23 4 1969."")",list(),list(),N,NULL,NA,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/5165/1969,LEI 5165 1969 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1020,1968,DEPUTADO AMILCAR PADOVANI                  MDB,"DECLARA DE UTILIDADE PÚBLICA O MOTOR CLUBE JUIZ DE FORA, DA CIDADE DE
JUIZ DE FORA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, JUIZ DE FORA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1968-11-28,000150269,PL. 1020 1968 - PROJETO DE LEI,1189,UTILIDADE PÚBLICA,LEI 5170 1969 - LEI ORDINÁRIA,20120203,1603,rosanacf,1968-11-26,"list(passo = 1, data = ""1968-11-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 26 3 1969\nREDAÇÃO FINAL\nAPROVAÇÃO: 7 4 1969\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. LEOPOLDO PORTO\nPUBLICAÇÃO: 25 3 1969\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 1 4 1969\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 5 1969."")",list(),list(),N,"list(id = 1189, nome = ""DEPUTADO AMILCAR PADOVANI"", partido = ""MDB"")",NA,NA,NA,NA,DELIBERAÇÃO DE PLENÁRIO,NULL,/legislacao/mineira/LEI/5170/1969,LEI 5170 1969 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1019,1968,DEPUTADO NELSON LOMBARDI                   MDB,"TRANSFORMA EM GRUPO ESCOLAR, COM A DENOMINAÇÃO DE GABRIEL PASSOS,
AS ESCOLAS COMBINADAS ""MERCÊS DE ÁGUA LIMA"", EM SÃO TIAGO.","ALTERAÇÃO, ESCOLAS COMBINADAS, TRANSFORMAÇÃO, GRUPO ESCOLAR,
DENOMINAÇÃO, MUNICÍPIO, SÃO TIAGO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-11-28,000150270,PL. 1019 1968 - PROJETO DE LEI,1184,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",NA,20120403,1448,rosanacf,1968-11-26,"list(passo = 1, data = ""1968-11-26"", local = ""PLENÁRIO"", historico = ""PLENÁRIO\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 3 1969\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nPERDEU PRAZO\nEDUCAÇÃO\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MAURÍLIO CAMBRAIA\nPERDEU PRAZO\nARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO, A REQUERIMENTO DO DEP. NELSON LOMBARDI, EM 20 4 1971.\nRECEBEU O NÚMERO PL 95 1971."")","list(expressao = ""(PL adj '95' adj 1971[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 95 1971"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2795%27+adj+1971%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 95, ano = 1971)",list(),N,"list(id = 1184, nome = ""DEPUTADO NELSON LOMBARDI"", partido = ""MDB"")",ARQUIVO,19710131,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1018,1968,DEPUTADO MÁRIO HUGO LADEIRA                ARENA,"DÁ DENOMINAÇÃO A GRUPO ESCOLAR DO BAIRRO SARANDI, EM BELO HORIZONTE.","DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-28,000149897,PL. 1018 1968 - PROJETO DE LEI,328,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",LEI 5294 1969 - LEI ORDINÁRIA,20120409,1541,rosanacf,1968-11-26,"list(passo = 1, data = ""1968-11-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 3 1969\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 12 9 1969\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 23 9 1969\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 9 1969\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 11 9 1969\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. MÁRIO ASSAD\nPUBLICAÇÃO: 18 9 1969\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. RONALDO CANEDO\nPUBLICAÇÃO: 27 9 1969\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 10 1969."")",list(),list(),N,"list(id = 328, nome = ""DEPUTADO MÁRIO HUGO LADEIRA"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/5294/1969,LEI 5294 1969 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1017,1968,DEPUTADO ALVARO SALLES                     ARENA,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO MINEIRA HENRIQUE DIAS, QUE
MANTÉM O NÚCLEO DA VILA BOA VISTA E O GINÁSIO FREDERICO OZANAM, DE BELO
HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1968-11-28,000150271,PL. 1017 1968 - PROJETO DE LEI,279,UTILIDADE PÚBLICA,LEI 5209 1969 - LEI ORDINÁRIA,20120203,1602,rosanacf,1968-11-26,"list(passo = 1, data = ""1968-11-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 13 6 1969\nREDAÇÃO FINAL\nAPROVAÇÃO: 18 6 1969\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. MÁRIO ASSAD\nPUBLICAÇÃO: 12 6 1969\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. ALMEIDA PEIXOTO\nPUBLICAÇÃO: 18 6 1969\nSANCIONADO\nPUBLICAÇÃO DA LEI: 1 7 1969."")",list(),list(),N,"list(id = 279, nome = ""DEPUTADO ALVARO SALLES"", partido = ""ARENA"")",NA,NA,NA,NA,DELIBERAÇÃO DE PLENÁRIO,NULL,/legislacao/mineira/LEI/5209/1969,LEI 5209 1969 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1016,1968,DEPUTADO BONIFÁCIO DE ANDRADA              ARENA,"MODIFICA DISPOSITIVO DA LEI 3038, DE 19 12 1963.
(SUBSTITUI A EXPRESSÃO ""REGULAMENTO ADMINISTRATIVO"" POR ""ESTATUTO"" PARA
DESIGNAR A CARTA BÁSICA DA FUNDAÇÃO UNIVERSITÁRIA DA MANTIQUEIRA,
POSTERIORMENTE DENOMINADA FUNDAÇÃO PRESIDENTE ANTÔNIO CARLOS, COM
SEDE EM BARBACENA).","ALTERAÇÃO, LEI ESTADUAL, AUTORIZAÇÃO, EXECUTIVO, CRIAÇÃO, FUNDAÇÃO,
ENSINO SUPERIOR, MUNICÍPIO, BARBACENA.
ALTERAÇÃO, DISPOSITIVOS, DENOMINAÇÃO, ESTATUTO, FUNDAÇÃO EDUCACIONAL.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-11-27,000150272,PL. 1016 1968 - PROJETO DE LEI,281,ESTABELECIMENTO DE ENSINO,NA,20120403,1446,rosanacf,1968-11-25,"list(passo = 1, data = ""1968-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 6 3 1969\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 281, nome = ""DEPUTADO BONIFÁCIO DE ANDRADA"", partido = ""ARENA"")",ARQUIVO,19710131,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1015,1968,DEPUTADO JORGE FERRAZ                      MDB,"DISPÕE SOBRE DISPENSA DE LIMITE DE IDADE PARA INSCRIÇÃO DE
SERVIDORES NO INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO
ESTADO DE MINAS GERAIS.","DISPOSITIVOS, DISPENSA, LIMITE DE IDADE, INSCRIÇÃO, INSTITUTO DE
PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS (IPSEMG).",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-11-27,000150273,PL. 1015 1968 - PROJETO DE LEI,314,INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS (IPSEMG),NA,20161221,1141,zigoni,1968-11-25,"list(passo = 1, data = ""1968-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 6 3 1969\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. LEOPOLDO PORTO\nPUBLICAÇÃO: NÃO CONSTA\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 314, nome = ""DEPUTADO JORGE FERRAZ"", partido = ""MDB"")",ARQUIVO,19710131,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1014,1968,DEPUTADO LÚCIO DE SOUZA CRUZ               ARENA,"DISPÕE SOBRE A PRESTAÇÃO DE CONTAS DA AUTARQUIA ""LOTERIA DO ESTADO DE
MINAS GERAIS"" E DÁ OUTRAS PROVIDÊNCIAS.","DISPOSITIVOS, PRESTAÇÃO DE CONTAS, LOTERIA DO ESTADO DE MINAS GERAIS
(LEMG).",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-11-26,000150274,PL. 1014 1968 - PROJETO DE LEI,323,"FINANÇAS PÚBLICAS
LOTERIA DO ESTADO DE MINAS GERAIS (LEMG)",NA,20170315,1243,zigoni,1968-11-22,"list(passo = 1, data = ""1968-11-22"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 27 11 1968\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,"list(id = 323, nome = ""DEPUTADO LÚCIO DE SOUZA CRUZ"", partido = ""ARENA"")",ARQUIVO,19710131,NA,"ADMINISTRAÇÃO PÚBLICA
FINANÇAS PÚBLICAS",NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1012,1968,DEPUTADO DELSON SCARANO                    ARENA,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO JACUTINGUENSE DE PROTEÇÃO A
CRIANÇA, COM SEDE EM JACUTINGA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, JACUTINGA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1966-11-26,000151392,PL. 1012 1968 - PROJETO DE LEI,709,UTILIDADE PÚBLICA,LEI 5158 1969 - LEI ORDINÁRIA,20120203,1556,rosanacf,1966-11-22,"list(passo = 1, data = ""1966-11-22"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 26 3 1969\nREDAÇÃO FINAL\nAPROVAÇÃO: 7 4 1969\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 25 3 1969\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 1 4 1969\nSANCIONADO\nPUBLICAÇÃO DA LEI: 23 4 1969."")",list(),list(),N,"list(id = 709, nome = ""DEPUTADO DELSON SCARANO"", partido = ""ARENA"")",NA,NA,NA,NA,DELIBERAÇÃO DE PLENÁRIO,NULL,/legislacao/mineira/LEI/5158/1969,LEI 5158 1969 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1011,1968,GOVERNADOR DO ESTADO,"AUTORIZA O EXECUTIVO A CRIAR UM GINÁSIO ESTADUAL NA CIDADE
DE CONGONHAS DO NORTE.","AUTORIZAÇÃO, EXECUTIVO, CRIAÇÃO, ESTABELECIMENTO DE ENSINO, ENSINO
MÉDIO, MUNICÍPIO, CONGONHAS DO NORTE.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-11-26,000150275,PL. 1011 1968 - PROJETO DE LEI,,ESTABELECIMENTO DE ENSINO,NA,20130529,0850,vitoria,1968-11-22,"list(passo = 1, data = ""1968-11-22"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 24 3 1969\nCOMISSÕES:\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JOÃO FERRAZ\nPUBLICAÇÃO: 21 3 1969\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,NULL,ARQUIVO,19710131,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1010,1968,DEPUTADO WILSON TANURE                     MDB,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO CULTURAL E RECREATIVA DOS
PROFESSORES SECUNDÁRIOS DE SETE LAGOAS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, SETE LAGOAS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1968-11-23,000150278,PL. 1010 1968 - PROJETO DE LEI,763,UTILIDADE PÚBLICA,NA,20120203,1554,rosanacf,1968-11-21,"list(passo = 1, data = ""1968-11-21"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 763, nome = ""DEPUTADO WILSON TANURE"", partido = ""MDB"")",ARQUIVO,19710131,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1009,1968,DEPUTADO EDGARD DE VASCONCELOS             ARENA,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO CULTURAL DE BELO
HORIZONTE, COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1968-11-23,000150279,PL. 1009 1968 - PROJETO DE LEI,941,UTILIDADE PÚBLICA,LEI 5122 1968 - LEI ORDINÁRIA,20120203,1552,rosanacf,1968-11-21,"list(passo = 1, data = ""1968-11-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 29 11 1968\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 11 1968\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. CARLOS ELOY\nPUBLICAÇÃO: 28 11 1968\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. LUIZ BACCARINI\nPUBLICAÇÃO: 3 12 1968\nSANCIONADO\nPUBLICAÇÃO DA LEI: 11 12 1968."")",list(),list(),N,"list(id = 941, nome = ""DEPUTADO EDGARD DE VASCONCELOS"", partido = ""ARENA"")",NA,NA,NA,NA,DELIBERAÇÃO DE PLENÁRIO,NULL,/legislacao/mineira/LEI/5122/1968,LEI 5122 1968 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1008,1968,DEPUTADO LEÃO BORGES                       ARENA,"DÁ DENOMINAÇÃO DE GINÁSIO ESTADUAL SÉRGIO PACHECO AO GINÁSIO ESTADUAL
DE PIRAJUBA.","DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, PIRAJUBA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1968-11-23,000150280,PL. 1008 1968 - PROJETO DE LEI,713,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",LEI 5162 1969 - LEI ORDINÁRIA,20120403,1442,rosanacf,1968-11-21,"list(passo = 1, data = ""1968-11-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 26 11 1968\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 5 3 1969\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 26 3 1969\nREDAÇÃO FINAL\nAPROVAÇÃO: 7 4 1969\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. VALDIR MELGAÇO\nPUBLICAÇÃO: 27 11 1968\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. MÁRIO ASSAD\nPUBLICAÇÃO: 25 3 1969\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 1 4 1969\nSANCIONADO\nPUBLICAÇÃO DA LEI: 23 4 1969."")",list(),list(),N,"list(id = 713, nome = ""DEPUTADO LEÃO BORGES"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/5162/1969,LEI 5162 1969 - LEI ORDINÁRIA,NA,NA
