dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,tema,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,assuntoGeral,legislacaoCitada,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,regime,autoresEstruturados,local,arquivamento,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao,observacao
Remissivo,PROJETO DE LEI,PL,1397,1969,GOVERNADOR DO ESTADO,"MODIFICA CRITÉRIO DE PAGAMENTO DAS LINHAS DE PRODUÇÃO DOS OCUPANTES DO
CARGO DE LINOTIPISTA, EM EXERCÍCIO NA IMPRENSA OFICIAL, REGULADO PELA
LEI 5028, DE 12 DE NOVEMBRO DE 1968, E CONTÉM OUTRAS PROVIDÊNCIAS.
(TRATA, TAMBÉM, DA VINCULAÇÃO DO AUDITÓRIO CINE TEATRO IMPRENSA OFICIAL
À DIRETORIA DA IMPRENSA OFICIAL E DISPÕE SOBRE O DEPARTAMENTO DE
PUBLICAÇÕES E DIVULGAÇÃO, ANTERIORMENTE DENOMINADO DEPARTAMENTO DO
""MINAS GERAIS"").",ADMINISTRAÇÃO PÚBLICA,"ALTERAÇÃO, CRITÉRIOS, PAGAMENTO, LINOTIPISTA, IMPRENSA OFICIAL DO
ESTADO DE MINAS GERAIS (IOMG).
FIXAÇÃO, VALOR, PERCENTAGEM, PAGAMENTO, EMPRESA DE PUBLICIDADE.
DISPOSITIVOS, AUDITÓRIO, CINEMA, TEATRO, IMPRENSA OFICIAL DO ESTADO DE
MINAS GERAIS (IOMG).
ALTERAÇÃO, DENOMINAÇÃO, SUBORDINAÇÃO, PERIÓDICO, ÓRGÃOS, IMPRENSA
OFICIAL DO ESTADO DE MINAS GERAIS (IOMG).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-12-24,000149887,PL. 1397 1969 - PROJETO DE LEI,,"EXECUTIVO
IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS (IOMG)
PESSOAL",LEI 5028 1968 - LEI ORDINÁRIA,LEI 5427 1970 - LEI ORDINÁRIA,20161014,1111,malves,1969-12-23,"list(passo = 1, data = ""1969-12-23"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 30 4 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 7 5 1970\nCOMISSÕES:\nJUSTIÇA, SERVIÇO PÚBLICO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. GERALDO SANTANNA\nPUBLICAÇÃO: 29 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 8 5 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 20 5 1970"")",list(),list(),"list(descricao = ""MSG 545 1969"")",N,NA,NULL,NA,NA,/legislacao/mineira/LEI/5427/1970,LEI 5427 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1396,1969,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A ABRIR À COMISSÃO ESPECIAL DO
PALÁCIO DAS ARTES (CEPA) O CRÉDITO ESPECIAL DE NCR$ 500.000,00.",NA,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-12-13,000149888,PL. 1396 1969 - PROJETO DE LEI,NA,NA,NA,LEI 5413 1970 - LEI ORDINÁRIA,19980101,NA,Carga,1969-12-12,"list(passo = 1, data = ""1969-12-12"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 20 4 1970, COM A EMENDA 1\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 4 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. LUIZ FERNANDO AZEVEDO\nPUBLICAÇÃO: 17 4 1970\nFINANÇAS\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JOÃO FERRAZ\nPUBLICAÇÃO: 17 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 29 4 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 13 5 1970"")",list(),list(),"list(descricao = ""MSG 543 1969"")",N,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,/legislacao/mineira/LEI/5413/1970,LEI 5413 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1395,1969,GOVERNADOR DO ESTADO,"FIXA OS CRITÉRIOS DE RATEIO PARA DISTRIBUIÇÃO DA TAXA RODOVIÁRIA ÚNICA,
INSTITUÍDA PELO DECRETO-LEI FEDERAL 999, DE 21 DE OUTUBRO DE 1969, E DÁ
OUTRAS PROVIDÊNCIAS.",TRANSPORTE E TRÂNSITO,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-12-06,000149890,PL. 1395 1969 - PROJETO DE LEI,,"TRIBUTOS
TRÂNSITO",DEF 999 1969 - DECRETO FEDERAL,LEI 5451 1970 - LEI ORDINÁRIA,20131022,1437,rosanacf,1969-12-05,"list(passo = 1, data = ""1969-12-05"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 11 5 1970, COM EMENDAS\nEMENDAS PUBLICADAS EM 8 4 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 14 5 1970\nCOMISSÕES:\nJUSTIÇA, TRANSPORTES E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 8 5 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 16 5 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 6 1970"")",list(),list(),"list(descricao = ""MSG 541 1969"")",N,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,/legislacao/mineira/LEI/5451/1970,LEI 5451 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1394,1969,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A DOAR IMÓVEL À UNIVERSIDADE FEDERAL DE MINAS
GERAIS.",NA,"AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, IMÓVEL, MUNICÍPIO, BELO HORIZONTE,
DESTINAÇÃO, UNIVERSIDADE FEDERAL DE MINAS GERAIS (UFMG).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-12-06,000149891,PL. 1394 1969 - PROJETO DE LEI,,IMÓVEL,NA,LEI 5439 1970 - LEI ORDINÁRIA,20160223,1211,malves,1969-12-05,"list(passo = 1, data = ""1969-12-05"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 6 5 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 7 5 1970\nCOMISSÕES:\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 1 5 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 8 5 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 23 5 1970"")",list(),list(),"list(descricao = ""MSG 540 1969"")",N,NA,NULL,NA,NA,/legislacao/mineira/LEI/5439/1970,LEI 5439 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1393,1969,DEPUTADO DALTON CANABRAVA                  MDB,"DECLARA DE UTILIDADE PÚBLICA O ORFANATO SANTO ANTÔNIO, COM SEDE NA
CIDADE DE CURVELO.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, CURVELO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-29,000149892,PL. 1393 1969 - PROJETO DE LEI,791,UTILIDADE PÚBLICA,NA,LEI 5417 1970 - LEI ORDINÁRIA,20120228,0847,rosanacf,1969-11-27,"list(passo = 1, data = ""1969-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 17 4 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 4 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 15 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERARDO RENAULT\nPUBLICAÇÃO: 29 4 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 15 5 1970"")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 791, nome = ""DEPUTADO DALTON CANABRAVA"", partido = ""MDB"")",NA,NA,/legislacao/mineira/LEI/5417/1970,LEI 5417 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1391,1969,GOVERNADOR DO ESTADO,"AUTORIZA A ABERTURA DO CRÉDITO ESPECIAL DE NCR$ 1.022,88 À
SECRETARIA DA EDUCAÇÃO.",NA,"ABERTURA, CRÉDITO ESPECIAL, SECRETARIA DE ESTADO DE EDUCAÇÃO (SEE).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-29,000149893,PL. 1391 1969 - PROJETO DE LEI,,CRÉDITO,NA,LEI 5416 1970 - LEI ORDINÁRIA,20101209,1609,m17461,1969-11-27,"list(passo = 1, data = ""1969-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 17 4 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 4 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. AGOSTINHO CAMPOS NETO\nPUBLICAÇÃO: 16 4 1970\nFINANÇAS\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 16 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERARDO RENAULT\nPUBLICAÇÃO: 29 4 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 15 5 1970"")",list(),list(),"list(descricao = ""MSG 538 1969"")",N,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,/legislacao/mineira/LEI/5416/1970,LEI 5416 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1390,1969,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A ACEITAR DOAÇÃO DE IMÓVEL SITUADO NO
MUNICÍPIO DE BELO HORIZONTE (BAIRRO JONAS VEIGA).",NA,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-29,000149894,PL. 1390 1969 - PROJETO DE LEI,NA,NA,NA,LEI 5429 1970 - LEI ORDINÁRIA,19980101,NA,Carga,1969-11-27,"list(passo = 1, data = ""1969-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 5 5 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 7 5 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. NELSON LOMBARDI\nPUBLICAÇÃO: 1 5 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 8 5 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 22 5 1970"")",list(),list(),"list(descricao = ""MSG 537 1969"")",N,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,/legislacao/mineira/LEI/5429/1970,LEI 5429 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1389,1969,DEPUTADO AMILCAR PADOVANI                  MDB,"DECLARA DE UTILIDADE PÚBLICA A SOCIEDADE CIVIL ""ALIANÇA PARA O
DESENVOLVIMENTO (ADE)"", COM SEDE EM BELO HORIZONTE.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-28,000149895,PL. 1389 1969 - PROJETO DE LEI,1189,UTILIDADE PÚBLICA,NA,LEI 5428 1970 - LEI ORDINÁRIA,20120228,0847,rosanacf,1969-11-26,"list(passo = 1, data = ""1969-11-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 17 4 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 4 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 15 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 29 4 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 22 5 1970"")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 1189, nome = ""DEPUTADO AMILCAR PADOVANI"", partido = ""MDB"")",NA,NA,/legislacao/mineira/LEI/5428/1970,LEI 5428 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1388,1969,GOVERNADOR DO ESTADO,DISPÕE SOBRE AS TOMADAS DE CONTAS EM ATRASO DOS SERVIDORES ESTADUAIS.,"ADMINISTRAÇÃO PÚBLICA
FINANÇAS PÚBLICAS","PRESTAÇÃO DE CONTAS, SERVIDOR PÚBLICO ESTADUAL, EXECUTIVO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-28,000149896,PL. 1388 1969 - PROJETO DE LEI,,PRESTAÇÃO DE CONTAS,NA,LEI 5420 1970 - LEI ORDINÁRIA,20150911,1637,m17461,1969-11-26,"list(passo = 1, data = ""1969-11-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 4 5 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 7 5 1970\nCOMISSÕES:\nJUSTIÇA, SERVIÇO PÚBLICO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. RONALDO CANEDO\nPUBLICAÇÃO: 30 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 8 5 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 22 5 1970"")",list(),list(),"list(descricao = ""MSG 535 1969"")",N,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,/legislacao/mineira/LEI/5420/1970,LEI 5420 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1386,1969,DEPUTADO JOÃO FERRAZ                       ARENA,"DECLARA DE UTILIDADE PÚBLICA O GRUPO ESPÍRITA MANUEL SANTIAGO, COM
SEDE EM BELO HORIZONTE.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-27,000149899,PL. 1386 1969 - PROJETO DE LEI,1171,UTILIDADE PÚBLICA,NA,LEI 5419 1970 - LEI ORDINÁRIA,20120228,0846,rosanacf,1969-11-25,"list(passo = 1, data = ""1969-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 17 4 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 4 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. LUIZ FERNANDO AZEVEDO\nPUBLICAÇÃO: 15 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERARDO RENAULT\nPUBLICAÇÃO: 29 4 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 15 5 1970"")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 1171, nome = ""DEPUTADO JOÃO FERRAZ"", partido = ""ARENA"")",NA,NA,/legislacao/mineira/LEI/5419/1970,LEI 5419 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1385,1969,DEPUTADO JOÃO FERRAZ                       ARENA,DECLARA DE UTILIDADE PÚBLICA O CÍRCULO MILITAR DE BELO HORIZONTE.,NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-27,000149900,PL. 1385 1969 - PROJETO DE LEI,1171,UTILIDADE PÚBLICA,NA,LEI 5415 1970 - LEI ORDINÁRIA,20120228,0846,rosanacf,1969-11-25,"list(passo = 1, data = ""1969-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 20 4 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 4 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 15 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. RONALDO CANEDO\nPUBLICAÇÃO: 29 4 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 13 5 1970"")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 1171, nome = ""DEPUTADO JOÃO FERRAZ"", partido = ""ARENA"")",NA,NA,/legislacao/mineira/LEI/5415/1970,LEI 5415 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1384,1969,DEPUTADO CHRISTOVAM CHIARADIA              ARENA,"DÁ DENOMINAÇÃO ÀS ESCOLAS COMBINADAS DE VARGEM DO DOURADO DE
""PROFESSOR ANTÔNIO BELIZÁRIO BORGES"".",NA,"DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, ESPÍRITO SANTO DO
DOURADO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-27,000149901,PL. 1384 1969 - PROJETO DE LEI,1177,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",NA,LEI 5503 1970 - LEI ORDINÁRIA,20120409,1540,rosanacf,1969-11-25,"list(passo = 1, data = ""1969-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 3 4 1970\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 16 6 1970\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 30 6 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 6 1970\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MÁRIO ASSAD\nPUBLICAÇÃO: 11 6 1970\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 20 6 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 3 7 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 14 7 1970"")",list(),list(),NULL,N,NA,"list(id = 1177, nome = ""DEPUTADO CHRISTOVAM CHIARADIA"", partido = ""ARENA"")",NA,NA,/legislacao/mineira/LEI/5503/1970,LEI 5503 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1383,1969,GOVERNADOR DO ESTADO,"EXTINGUE A PARTICIPAÇÃO DE SERVIDORES ESTADUAIS NO PRODUTO DA ARRECADAÇÃO
DE TRIBUTOS E MULTAS, INCLUSIVE DA DÍVIDA ATIVA E DÁ OUTRAS PROVIDÊNCIAS.","ADMINISTRAÇÃO PÚBLICA
FINANÇAS PÚBLICAS","EXTINÇÃO, PERCENTAGEM, RECEITA TRIBUTÁRIA, DÍVIDA ATIVA, REFERÊNCIA,
SERVIDOR PÚBLICO ESTADUAL.",TRANSFORMADO EM NORMA JURÍDICA COM VETO PARCIAL,TNJVP,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-26,000149903,PL. 1383 1969 - PROJETO DE LEI,,"PESSOAL
TRIBUTOS",NA,LEI 5426 1970 - LEI ORDINÁRIA,20131022,1439,rosanacf,1969-11-25,"list(passo = 1, data = ""1969-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 5 5 1970, COM EMENDAS\nREDAÇÃO FINAL\nAPROVAÇÃO: 8 5 1970\nCOMISSÕES:\nJUSTIÇA, SERVIÇO PÚBLICO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. MARTINS SILVEIRA\nPUBLICAÇÃO: 1 5 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 9 5 1970, 12 5 1970 E 14 5 1970\nVETADO PARCIALMENTE\nPUBLICAÇÃO DA LEI: 20 5 1970\nVETO PARCIAL MANTIDO E, 25 8 1970"")",list(),list(),"list(descricao = ""MSG 534 1969"")",N,NA,NULL,NA,NA,/legislacao/mineira/LEI/5426/1970,LEI 5426 1970 - LEI ORDINÁRIA,PRL 5972 1969,NA
Remissivo,PROJETO DE LEI,PL,1382,1969,DEPUTADO JORGE FERRAZ                      MDB,"DECLARA DE UTILIDADE PÚBLICA O MOVIMENTO DE ESTUDOS, TRABALHO E ARTE -
META -, COM SEDE EM PEDRO LEOPOLDO.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, PEDRO LEOPOLDO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1969-11-26,000149904,PL. 1382 1969 - PROJETO DE LEI,314,UTILIDADE PÚBLICA,NA,LEI 5422 1970 - LEI ORDINÁRIA,20120228,0845,rosanacf,1969-11-24,"list(passo = 1, data = ""1969-11-24"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO:\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 17 4 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 4 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: 15 4 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERARDO RENAULT\nPUBLICAÇÃO: 29 4 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 15 5 1970"")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 314, nome = ""DEPUTADO JORGE FERRAZ"", partido = ""MDB"")",NA,NA,/legislacao/mineira/LEI/5422/1970,LEI 5422 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1380,1969,TRIBUNAL DE JUSTIÇA,"AUTORIZA CONCESSÃO DE UM ABONO DE 20% AO SERVIDORES DOS SERVIÇOS
AUXILIARES DO TRIBUNAL DE JUSTIÇA.",NA,"CONCESSÃO, ABONO, SERVIDOR, SERVIÇOS AUXILIARES, TRIBUNAL DE JUSTIÇA DO
ESTADO DE MINAS GERAIS (TJMG).",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1969-11-22,000149906,PL. 1380 1969 - PROJETO DE LEI,,"PESSOAL
TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS (TJMG)",NA,NA,20160309,1239,m20993,1969-11-21,"list(passo = 1, data = ""1969-11-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 26 11 1969\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 11 6 1970\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. LEOPOLDO PORTO\nPUBLICAÇÃO: 14 5 1970\nSERVIÇO PÚBLICO\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOSÉ DOMINGUES\nPUBLICAÇÃO: 14 5 1970\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NELSON LOMBARDI\nPUBLICAÇÃO: 14 5 1970\nFINANÇAS\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. NELSON LOMBARDI\nPUBLICAÇÃO: 18 6 1970\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),"list(descricao = ""MSG 534 1969"")",N,NA,NULL,ARQUIVO,19710131,NA,NA,NA,NA
