dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,observacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,regime,assuntoGeral,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,linksOrigem,tema,local,arquivamento,legislacaoCitada,linkLegislacao.url,linkLegislacao.rotulo
Remissivo,PROJETO DE LEI,PL,27700,1975,DEPUTADO JOSÉ HONÓRIO                      PDS,"DECLARA DE UTILIDADE PÚBLICA O ROYAL ESPORTE CLUBE, DE MESQUITA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, MESQUITA.",PUBLICADO COMO PROJETO DE LEI 277/A.,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-10-21,000147940,PL. 27700 1975 - PROJETO DE LEI,787,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 6717 1975 - LEI ORDINÁRIA,20120229,1602,rosanacf,1975-10-17,"list(passo = 1, data = ""1975-10-17"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 24 10 1975\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 19 11 1975\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 26 11 1975\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 11 1975\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. FERRAZ CALDAS\nPUBLICAÇÃO: 1 11 1975\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 22 11 1975\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ BONIFÁCIO FILHO\nPUBLICAÇÃO: 2 12 1975\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 12 1975"")",list(),list(),N,"list(id = 787, nome = ""DEPUTADO JOSÉ HONÓRIO"", partido = ""PDS"")",NULL,NA,NA,NA,NA,/legislacao/mineira/LEI/6717/1975,LEI 6717 1975 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,372,1975,GOVERNADOR DO ESTADO,CONCEDE PENSÃO À VIÚVA DO EX-DEPUTADO XENOFONTE MERCADANTE.,NA,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-01-01,000147842,PL. 372 1975 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 6766 1976 - LEI ORDINÁRIA,19980101,NA,Carga,1975-12-30,"list(passo = 1, data = ""1975-12-30"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 30 3 1976\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 3 1976\nCOMISSÕES:\nJUSTIÇA, SAÚDE E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: NÃO CONSTA\nPUBLICAÇÃO: NÃO CONSTA (PERDERAM PRAZO)\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: 31 3 1976\nSANCIONADO\nPUBLICAÇÃO DA LEI: 23 4 1976"")",list(),list(),N,NULL,"list(descricao = ""MSG 166 1975"")",NA,NA,NA,NA,/legislacao/mineira/LEI/6766/1976,LEI 6766 1976 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,371,1975,DEPUTADO FERNANDO JUNQUEIRA                PDS,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DOS FUNCIONÁRIOS FAZENDÁRIOS
DA SUPERINTENDÊNCIA REGIONAL DA FAZENDA DE JUIZ DE FORA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, JUIZ DE FORA.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-12-02,000147843,PL. 371 1975 - PROJETO DE LEI,1468,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 6782 1976 - LEI ORDINÁRIA,20120302,1541,rosanacf,1975-11-28,"list(passo = 1, data = ""1975-11-28"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 10 3 1976\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 6 4 1976\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 11 5 1976\nREDAÇÃO FINAL\nAPROVAÇÃO: 12 5 1976\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO PINTO RIBEIRO\nPUBLICAÇÃO: 26 3 1976\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 7 5 1976\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. CYRO MACIEL\nPUBLICAÇÃO: 14 5 1976\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 6 1976"")",list(),list(),N,"list(id = 1468, nome = ""DEPUTADO FERNANDO JUNQUEIRA"", partido = ""PDS"")",NULL,NA,NA,NA,NA,/legislacao/mineira/LEI/6782/1976,LEI 6782 1976 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,370,1975,DEPUTADO HAROLDO LOPES DA COSTA            MDB,"DISPÕE SOBRE SERVIÇO DE PREVENÇÃO E ACIDENTES E SALVAMENTO EM CLUBES
ESPORTIVOS NO ESTADO.","NORMAS, SERVIÇO, PREVENÇÃO, ACIDENTE, SALVAMENTO, NATAÇÃO, CLUBE,
ESPORTE.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-29,000147844,PL. 370 1975 - PROJETO DE LEI,1473,DELIBERAÇÃO DE PLENÁRIO,"ESPORTE E LAZER
SAÚDE PÚBLICA",LEI 6880 1976 - LEI ORDINÁRIA,20151013,1643,malves,1975-11-27,"list(passo = 1, data = ""1975-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 15 3 1976\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 17 8 1976\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 24 8 1976\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 8 1976\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOSÉ SANTANA\nPUBLICAÇÃO: 13 8 1976\nEDUCAÇÃO\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. RAIMUNDO ALBERGARIA\nPUBLICAÇÃO: 13 8 1976\nSAÚDE\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: 13 8 1976\nSAÚDE\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. MENDES BARROS\nPUBLICAÇÃO: 21 8 1976\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. CYRO MACIEL\nPUBLICAÇÃO: 31 8 1976\nSANCIONADO\nPUBLICAÇÃO DA LEI: 24 9 1976"")",list(),list(),N,"list(id = 1473, nome = ""DEPUTADO HAROLDO LOPES DA COSTA"", partido = ""MDB"")",NULL,"ESPORTE E LAZER
SAÚDE PÚBLICA",NA,NA,NA,/legislacao/mineira/LEI/6880/1976,LEI 6880 1976 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,369,1975,DEPUTADO JOSÉ HONÓRIO                      PDS,"DECLARA DE UTILIDADE PÚBLICA A ENTIDADE QUE MENCIONA.
(APMI - ASSOCIAÇÃO DE PROTEÇÃO À MATERNIDADE E À INFÂNCIA DE
FELISBURGO - MG).","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, FELISBURGO.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1975-11-28,000147845,PL. 369 1975 - PROJETO DE LEI,787,NA,UTILIDADE PÚBLICA,NA,20120302,1539,rosanacf,1975-11-26,"list(passo = 1, data = ""1975-11-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 12 3 1976\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,"list(id = 787, nome = ""DEPUTADO JOSÉ HONÓRIO"", partido = ""PDS"")",NULL,NA,ARQUIVO,19790131,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,368,1975,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A ABRIR O CRÉDITO ESPECIAL DE
CR$ 1.282.100,00 AO GABINETE DO VICE-GOVERNADOR DO ESTADO.",NA,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-26,000147847,PL. 368 1975 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 6764 1976 - LEI ORDINÁRIA,19980101,NA,Carga,1975-11-25,"list(passo = 1, data = ""1975-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 18 3 1976\nREDAÇÃO FINAL\nAPROVAÇÃO: 22 3 1976\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: NÃO CONSTA\nPUBLICAÇÃO: NÃO CONSTA\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ SANTANA\nPUBLICAÇÃO: 23 3 1976\nSANCIONADO\nPUBLICAÇÃO DA LEI: 30 3 1976"")",list(),list(),N,NULL,"list(descricao = ""MSG 159 1975"")",NA,NA,NA,NA,/legislacao/mineira/LEI/6764/1976,LEI 6764 1976 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,367,1975,DEPUTADO SAID ARGES                        MDB,"DECLARA DE UTILIDADE PÚBLICA O OLARIA ESPORTE CLUBE, COM SEDE EM
BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-27,000147846,PL. 367 1975 - PROJETO DE LEI,338,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 6774 1976 - LEI ORDINÁRIA,20120302,1538,rosanacf,1975-11-25,"list(passo = 1, data = ""1975-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 12 3 1976\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 6 4 1976\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 4 5 1976\nREDAÇÃO FINAL\nAPROVAÇÃO: 11 5 1976\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 26 3 1976\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOÃO PINTO RIBEIRO\nPUBLICAÇÃO: 27 4 1976\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ BONIFÁCIO FILHO\nPUBLICAÇÃO: 14 5 1976\nSANCIONADO\nPUBLICAÇÃO DA LEI: 2 6 1976"")",list(),list(),N,"list(id = 338, nome = ""DEPUTADO SAID ARGES"", partido = ""MDB"")",NULL,NA,NA,NA,NA,/legislacao/mineira/LEI/6774/1976,LEI 6774 1976 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,366,1975,DEPUTADO AMILCAR PADOVANI                  PTB,"DECLARA DE UTILIDADE PÚBLICA O CENTRO ESPÍRITA MENSAGEIRO DE DEUS,
COM SEDE NA CIDADE DE JUIZ DE FORA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, JUIZ DE FORA.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1975-11-26,000147848,PL. 366 1975 - PROJETO DE LEI,1189,NA,UTILIDADE PÚBLICA,NA,20120302,1537,rosanacf,1975-11-24,"list(passo = 1, data = ""1975-11-24"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 10 3 1976\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,"list(id = 1189, nome = ""DEPUTADO AMILCAR PADOVANI"", partido = ""PTB"")",NULL,NA,ARQUIVO,19790131,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,365,1975,GOVERNADOR DO ESTADO,"DISPÕE SOBRE OS VENCIMENTOS DOS CARGOS DO QUADRO DE SERVIDORES DOS
ÓRGÃOS AUXILIARES DA JUSTIÇA DE PRIMEIRA INSTÂNCIA E DÁ OUTRAS
PROVIDÊNCIAS.",NA,NA,TRANSFORMADO EM NORMA JURÍDICA COM VETO PARCIAL,TNJVP,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-22,000147850,PL. 365 1975 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,"JUDICIÁRIO
PESSOAL",LEI 6760 1975 - LEI ORDINÁRIA,20131021,1300,rosanacf,1975-11-21,"list(passo = 1, data = ""1975-11-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 28 11 1975\nREDAÇÃO FINAL\nAPROVAÇÃO: 28 11 1975\nCOMISSÕES:\nJUSTIÇA, SERVIÇO PÚBLICO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. CARLOS LEMOS\nPUBLICAÇÃO: 27 11 1975 E 28 11 1975\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ SANTANA\nPUBLICAÇÃO: 4 12 1975\nRETIFICAÇÃO DA PUBLICAÇÃO: 19 12 1975\nVETADO PARCIALMENTE\nPUBLICAÇÃO DA LEI: 20 12 1975\nVETO MANTIDO"")",list(),list(),N,NULL,"list(descricao = ""MSG 157 1975"")",ADMINISTRAÇÃO PÚBLICA,NA,NA,NA,/legislacao/mineira/LEI/6760/1975,LEI 6760 1975 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,364,1975,DEPUTADO JOÃO MARQUES                      PP,"DISPÕE SOBRE A COLOCAÇÃO DE SERVIDORES ESTADUAIS A DISPOSIÇÃO DAS
FUNDAÇÕES E REGULAMENTA O ARTIGO 242 DA CONSTITUIÇÃO DO ESTADO DE
MINAS GERAIS.",NA,NA,PROJETO VETADO TOTALMENTE,PVETO,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-25,000147849,PL. 364 1975 - PROJETO DE LEI,5908,DELIBERAÇÃO DE PLENÁRIO,NA,NA,19980101,NA,Carga,1975-11-21,"list(passo = 1, data = ""1975-11-21"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 26 11 1975\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 28 11 1975\nREDAÇÃO FINAL\nAPROVAÇÃO: 28 11 1975\nCOMISSÕES:\nJUSTIÇA, SERVIÇO PÚBLICO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. FERRAZ CALDAS\nPUBLICAÇÃO: NÃO CONSTA\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ SANTANA.\nPUBLICAÇÃO: 4 12 1975\nVETADO TOTALMENTE\nPUBLICAÇÃO DAS RAZÕES DO VETO: 20 12 1975\nVETO TOTAL MANTIDO"")",list(),list(),N,"list(id = 5908, nome = ""DEPUTADO JOÃO MARQUES"", partido = ""PP"")",NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,363,1975,DEPUTADO NÍLSON GONTIJO                    PMDB,"DECLARA DE UTILIDADE PÚBLICA A SOCIEDADE COLÉGIO DE ITAJUBÁ, DO
MUNICÍPIO DE ITAJUBÁ.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ITAJUBÁ.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1975-11-21,000147851,PL. 363 1975 - PROJETO DE LEI,1186,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,NA,20120302,1529,rosanacf,1975-11-19,"list(passo = 1, data = ""1975-11-19"", local = ""PLENÁRIO"", historico = ""ANEXADO AO PROJETO DE LEI 334 1975, NOS TERMOS DO PARÁGRAFO ÚNICO\nDO ART. 168, DO RI, EM 19 11 1975\nPL 334 1975: TRANSFORMADO NA LEI 6742 1975."")","list(expressao = ""(PL adj '334' adj 1975[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 334 1975"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%27334%27+adj+1975%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 334, ano = 1975)",list(),N,"list(id = 1186, nome = ""DEPUTADO NÍLSON GONTIJO"", partido = ""PMDB"")",NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,362,1975,DEPUTADO SAID ARGES                        MDB,"DECLARA DE UTILIDADE PÚBLICA O SANTA CRUZ FUTEBOL CLUBE, COM SEDE
EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-21,000147852,PL. 362 1975 - PROJETO DE LEI,338,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 6735 1975 - LEI ORDINÁRIA,20120302,1523,rosanacf,1975-11-19,"list(passo = 1, data = ""1975-11-19"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 26 11 1975\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 28 11 1975\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 28 11 1975\nREDAÇÃO FINAL\nAPROVAÇÃO: 28 11 1975\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 28 11 1975\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 29 11 1975\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ BONIFÁCIO FILHO\nPUBLICAÇÃO: 3 12 1975\nSANCIONADO\nPUBLICAÇÃO DA LEI: 12 12 1975"")",list(),list(),N,"list(id = 338, nome = ""DEPUTADO SAID ARGES"", partido = ""MDB"")",NULL,NA,NA,NA,NA,/legislacao/mineira/LEI/6735/1975,LEI 6735 1975 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,361,1975,DEPUTADO JÉSUS TRINDADE                    PDS,"AUTORIZA O PODER EXECUTIVO A CONCEDER PENSÃO ESPECIAL À FAMÍLIA
DO SERVIDOR ESTADUAL MORTO EM SERVIÇO.",NA,NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1975-11-21,000147853,PL. 361 1975 - PROJETO DE LEI,1048,NA,NA,NA,20100203,1424,moreka,1975-11-19,"list(passo = 1, data = ""1975-11-19"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 26 11 1975\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 24 8 1976\nSAÚDE\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: 24 8 1976\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. CARLOS LEMOS\nPUBLICAÇÃO: 24 8 1976\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,"list(id = 1048, nome = ""DEPUTADO JÉSUS TRINDADE"", partido = ""PDS"")",NULL,NA,ARQUIVO,19790131,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,352,1975,GOVERNADOR DO ESTADO,"MODIFICA A REDAÇÃO DO ARTIGO 3 DA LEI 6074, DE 17 DE ABRIL DE
1973 (AUTORIZA O PODER EXECUTIVO A PERMUTAR COM O AMÉRICA
FUTEBOL CLUBE TERRENO NO MUNICÍPIO DE BELO HORIZONTE, PARA
CONSTRUÇÃO DE UNIDADE ESCOLAR).",NA,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-19,000147862,PL. 352 1975 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 6758 1975 - LEI ORDINÁRIA,19980101,NA,Carga,1975-11-18,"list(passo = 1, data = ""1975-11-18"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 28 11 1975\nREDAÇÃO FINAL\nAPROVAÇÃO: 28 11 1975\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. VICENTE GUABIROBA\nPUBLICAÇÃO: 26 11 1975\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ BONIFÁCIO FILHO\nPUBLICAÇÃO: 4 12 1975\nSANCIONADO\nPUBLICAÇÃO DA LEI: 18 12 1975"")",list(),list(),N,NULL,"list(descricao = ""MSG 156 1975"")",NA,NA,NA,NA,/legislacao/mineira/LEI/6758/1975,LEI 6758 1975 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,351,1975,DEPUTADO CYRO MACIEL                       PDS,"AUTORIZA O PODER EXECUTIVO A DOAR IMÓVEL DE SUA PROPRIEDADE A
PREFEITURA MUNICIPAL DE ITANHOMI.",NA,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-19,000147863,PL. 351 1975 - PROJETO DE LEI,287,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 6767 1976 - LEI ORDINÁRIA,19980101,NA,Carga,1975-11-17,"list(passo = 1, data = ""1975-11-17"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 21 11 1975\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 28 11 1975\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 29 3 1976\nREDAÇÃO FINAL\nAPROVAÇÃO: 5 4 1976\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. ANTÔNIO DIAS\nPUBLICAÇÃO: 28 11 1985\nECONOMIA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: 28 11 1975\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. FERRAZ CALDAS\nPUBLICAÇÃO: 28 11 1975\nFINANÇAS\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. RONALDO CANEDO\nPUBLICAÇÃO: 25 3 1976\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: 7 4 1976\nSANCIONADO\nPUBLICAÇÃO DA LEI: 27 4 1976"")",list(),list(),N,"list(id = 287, nome = ""DEPUTADO CYRO MACIEL"", partido = ""PDS"")",NULL,NA,NA,NA,NA,/legislacao/mineira/LEI/6767/1976,LEI 6767 1976 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,350,1975,COMISSÃO ASSUNTOS MUNICIPAIS E REGIONALIZAÇÃO,ALTERA A TOPONÍMIA DO MUNICÍPIO DE SÃO FRANCISCO DE OLIVEIRA.,NA,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1975-11-18,000147864,PL. 350 1975 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,ADMINISTRAÇÃO MUNICIPAL,LEI 6775 1976 - LEI ORDINÁRIA,20131017,1727,rosanacf,1975-11-14,"list(passo = 1, data = ""1975-11-14"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 20 11 1975\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 12 3 1976\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 5 5 1976\nREDAÇÃO FINAL\nAPROVAÇÃO: 11 5 1976\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 26 11 1975\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOSÉ SANTANA\nPUBLICAÇÃO: 6 4 1976\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ BONIFÁCIO FILHO\nPUBLICAÇÃO: 14 5 1976\nSANCIONADO\nPUBLICAÇÃO DA LEI: 2 6 1976"")",list(),list(),N,NULL,NULL,MUNICÍPIOS E DESENVOLVIMENTO REGIONAL,NA,NA,NA,/legislacao/mineira/LEI/6775/1976,LEI 6775 1976 - LEI ORDINÁRIA
