dominio,ano,tipoProjeto,siglaTipoProjeto,numero,autor,ementa,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,regime,assuntoGeral,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,local,arquivamento,tema,legislacaoCitada,linksOrigem,linkLegislacao.url,linkLegislacao.rotulo,observacao
1,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,1977,PROJETO DE LEI,PL,1368,DEPUTADO FERRAZ CALDAS                     PMDB,"DECLARA DE UTILIDADE PÚBLICA O CENTRO DE ESTUDOS EVANGÉLICOS ALAN
KARDEC, DE ITAJUBÁ.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ITAJUBÁ.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-22,000146831,PL. 1368 1977 - PROJETO DE LEI,1690,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7148 1977 - LEI ORDINÁRIA,20120228,0837,rosanacf,1977-09-20,"list(passo = 1, data = ""1977-09-20"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 26 9 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 4 10 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 19 10 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 21 10 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. VICENTE GUABIROBA\nPUBLICAÇÃO: 1 10 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. NARCÉLIO MENDES\nPUBLICAÇÃO: 14 10 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. LUIZ JUNQUEIRA\nPUBLICAÇÃO: (NADA CONSTA)\nSANCIONADO\nPUBLICAÇÃO DA LEI: 17 11 1977"")",list(),list(),N,"list(id = 1690, nome = ""DEPUTADO FERRAZ CALDAS"", partido = ""PMDB"")",NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/7148/1977,LEI 7148 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1367,DEPUTADO MENDES BARROS                     PMDB,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO TERTULIANO VIEIRA, MANTENEDORA
DA CIDADE DA MENINA, DE GOVERNADOR VALADARES.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, GOVERNADOR VALADARES.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-21,000146832,PL. 1367 1977 - PROJETO DE LEI,1688,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7142 1977 - LEI ORDINÁRIA,20120228,0837,rosanacf,1977-09-19,"list(passo = 1, data = ""1977-09-19"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 26 9 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 4 10 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 19 10 1977, COM EMENDA\nREDAÇÃO FINAL\nAPROVAÇÃO: 21 10 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NEIF JABUR\nPUBLICAÇÃO: 1 10 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 14 10 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. LUIZ JUNQUEIRA\nPUBLICAÇÃO: (NÃO CONSTA)\nSANCIONADO\nPUBLICAÇÃO DA LEI: 17 11 1977"")",list(),list(),N,"list(id = 1688, nome = ""DEPUTADO MENDES BARROS"", partido = ""PMDB"")",NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/7142/1977,LEI 7142 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1363,DEPUTADO JOSÉ HONÓRIO                      PDS,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO MUNICIPAL DE SAÚDE DE ONÇA DO
PITANGUI.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ONÇA DE PITANGUI.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1977-09-15,000146836,PL. 1363 1977 - PROJETO DE LEI,787,NA,UTILIDADE PÚBLICA,NA,20120228,0836,rosanacf,1977-09-13,"list(passo = 1, data = ""1977-09-13"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 21 9 1977\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 787, nome = ""DEPUTADO JOSÉ HONÓRIO"", partido = ""PDS"")",ARQUIVO,19790131,NA,NA,NULL,NA,NA,NA
Remissivo,1977,PROJETO DE LEI,PL,1359,DEPUTADO ARTUR FAGUNDES                    PDS,"AUTORIZA O PODER EXECUTIVO A REVERTER AO PATRIMÔNIO DO
MUNICÍPIO DE JANAÚBA IMÓVEL RECEBIDO EM DOAÇÃO.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1977-09-14,000146840,PL. 1359 1977 - PROJETO DE LEI,739,NA,NA,NA,20090402,0922,m17663,1977-09-12,"list(passo = 1, data = ""1977-09-12"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 12 10 1977\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 739, nome = ""DEPUTADO ARTUR FAGUNDES"", partido = ""PDS"")",ARQUIVO,19790131,NA,NA,NULL,NA,NA,NA
Remissivo,1977,PROJETO DE LEI,PL,1358,DEPUTADO SYLO COSTA                        PDS,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO MUNICIPAL DE SAÚDE DE FARIA
LEMOS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, FARIA LEMOS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-14,000146841,PL. 1358 1977 - PROJETO DE LEI,978,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7166 1977 - LEI ORDINÁRIA,20120228,0834,rosanacf,1977-09-12,"list(passo = 1, data = ""1977-09-12"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 21 9 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 10 11 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 24 11 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 11 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 27 10 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 19 11 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. CARLOS LEMOS\nPUBLICAÇÃO: 1 12 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 20 12 1977"")",list(),list(),N,"list(id = 978, nome = ""DEPUTADO SYLO COSTA"", partido = ""PDS"")",NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/7166/1977,LEI 7166 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1357,GOVERNADOR DO ESTADO,"DÁ NOVA REDAÇÃO AOS ARTS. 4 E 5 DA LEI 2268, DE 26 12 1960, E DÁ OUTRAS
PROVIDÊNCIAS. (DISPÕE SOBRE A HIDROMINAS - ÁGUAS MINERAIS DE MINAS GERAIS
S.A.).","ALTERAÇÃO, ORGANIZAÇÃO ADMINISTRATIVA, (HIDROMINAS).",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-13,000146843,PL. 1357 1977 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,EMPRESA PÚBLICA,LEI 7152 1977 - LEI ORDINÁRIA,20150323,1511,malves,1977-09-12,"list(passo = 1, data = ""1977-09-12"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 10 1977, COM EMENDA\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 10 1977\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. VICENTE GUABIROBA\nPUBLICAÇÃO: 22 10 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: 2 11 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 18 11 1977"")",list(),list(),N,NULL,NA,NA,ADMINISTRAÇÃO PÚBLICA,LEI 2268 1960 - LEI ORDINÁRIA,"list(descricao = ""MSG 264 1977"")",/legislacao/mineira/LEI/7152/1977,LEI 7152 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1356,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A PROMOVER A TRANSFERÊNCIA DA ESCOLA DE
ENFERMAGEM MANTIDA PELA FUNDAÇÃO HERMANTINA BERALDO PARA A UNIVERSIDADE
FEDERAL DE JUIZ DE FORA.","AUTORIZAÇÃO, EXECUTIVO, TRANSFERÊNCIA, UNIVERSIDADE FEDERAL DE JUIZ DE
FORA (UFJF), FACULDADE DE ENFERMAGEM HERMANTINA BERALDO, MUNICÍPIO,
JUIZ DE FORA.
NORMAS, EXTINÇÃO, FUNDAÇÃO HERMANTINA BERALDO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-13,000146844,PL. 1356 1977 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,"EDUCAÇÃO
FUNDAÇÃO PÚBLICA",LEI 7131 1977 - LEI ORDINÁRIA,20160211,1711,malves,1977-09-12,"list(passo = 1, data = ""1977-09-12"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 12 10 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 13 10 1977\nCOMISSÕES:\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 1 10 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: 15 10 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 17 11 1977"")",list(),list(),N,NULL,NA,NA,"ADMINISTRAÇÃO PÚBLICA
EDUCAÇÃO",NA,"list(descricao = ""MSG 623 1977"")",/legislacao/mineira/LEI/7131/1977,LEI 7131 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1349,DEPUTADO EMÍLIO HADDAD                     MDB,"DECLARA DE UTILIDADE PÚBLICA O CONSELHO PASTORAL PAROQUIAL DE SÃO
SEBASTIÃO, COM SEDE NA CIDADE DE OLIVEIRA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, OLIVEIRA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-09,000146851,PL. 1349 1977 - PROJETO DE LEI,1192,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7132 1977 - LEI ORDINÁRIA,20120228,0831,rosanacf,1977-09-06,"list(passo = 1, data = ""1977-09-06"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 14 9 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 3 10 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 13 10 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 14 10 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 27 9 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 6 10 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. LUIZ JUNQUEIRA\nPUBLICAÇÃO: 18 10 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 17 12 1977"")",list(),list(),N,"list(id = 1192, nome = ""DEPUTADO EMÍLIO HADDAD"", partido = ""MDB"")",NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/7132/1977,LEI 7132 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1348,DEPUTADO CÍCERO DUMONT                     ARENA,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO TAIOBEIRAS, COM SEDE EM
TAIOBEIRAS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, TAIOBEIRAS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-09,000146852,PL. 1348 1977 - PROJETO DE LEI,351,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7146 1977 - LEI ORDINÁRIA,20120228,0831,rosanacf,1977-09-06,"list(passo = 1, data = ""1977-09-06"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 14 9 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 3 10 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 13 10 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 14 10 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 27 9 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. MILTON LIMA\nPUBLICAÇÃO: 6 10 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. LUIZ JUNQUEIRA\nPUBLICAÇÃO: 18 10 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 17 11 1977"")",list(),list(),N,"list(id = 351, nome = ""DEPUTADO CÍCERO DUMONT"", partido = ""ARENA"")",NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/7146/1977,LEI 7146 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1347,DEPUTADO RAIMUNDO ALBERGARIA               PDS,"DISPÕE SOBRE A CONTAGEM DE TEMPO DE EXERCÍCIO NO MAGISTÉRIO DE
PROFESSOR DE ESTABELECIMENTO DE ENSINO ENCAMPADO PELO ESTADO.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1977-09-07,000146854,PL. 1347 1977 - PROJETO DE LEI,1698,NA,NA,NA,20090402,0919,m17663,1977-09-05,"list(passo = 1, data = ""1977-09-05"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 14 9 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 10 11 1977\nSERVIÇO PÚBLICO\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MORVAN ACAYABA\nPUBLICAÇÃO: 10 11 1977\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO GALLO\nPUBLICAÇÃO: 10 11 1977\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1698, nome = ""DEPUTADO RAIMUNDO ALBERGARIA"", partido = ""PDS"")",ARQUIVO,19790131,NA,NA,NULL,NA,NA,NA
Remissivo,1977,PROJETO DE LEI,PL,1344,MESA DA ASSEMBLÉIA,"REAJUSTA OS VALORES DOS SÍMBOLOS DE VENCIMENTOS DOS CARGOS DO QUADRO
PERMANENTE DA SECRETARIA DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DE MINAS
GERAIS, E DÁ OUTRAS PROVIDÊNCIAS.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-03,000146859,PL. 1344 1977 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS (ALMG)
PESSOAL",LEI 7083 1977 - LEI ORDINÁRIA,20131017,1510,rosanacf,1977-09-02,"list(passo = 1, data = ""1977-09-02"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 9 1977\nEMENDAS PUBLICADAS NO DL EM 21 9 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 21 9 1977, COM SUBSTITUTIVO\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 23 9 1977, NA FORMA DO VENCIDO EM SEGUNDA DISCUSSÃO\nREDAÇÃO FINAL\nAPROVAÇÃO: 23 9 1977\nCOMISSÕES:\nMESA DA ASSEMBLÉIA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. ANTÔNIO DIAS\nPUBLICAÇÃO: 17 9 1977\nMESA DA ASSEMBLÉIA\nSEGUNDA DISCUSSÃO\n(PARECER SOBRE EMENDAS)\nRELATOR: DEP. ANTÔNIO DIAS\nPUBLICAÇÃO: 21 9 1977\nMESA DA ASSEMBLÉIA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. ANTÔNIO DIAS\nPUBLICAÇÃO: 23 9 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOÃO MARQUES\nPUBLICAÇÃO: 24 9 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 4 10 1977"")",list(),list(),N,NULL,NA,NA,ADMINISTRAÇÃO PÚBLICA,NA,NULL,/legislacao/mineira/LEI/7083/1977,LEI 7083 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1343,DEPUTADO GOMES MOREIRA                     MDB,"DECLARA DE UTILIDADE PÚBLICA A EDIÇÕES AMEM, COM SEDE EM CONTAGEM.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, CONTAGEM.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-06,000146856,PL. 1343 1977 - PROJETO DE LEI,312,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7138 1977 - LEI ORDINÁRIA,20120228,0828,rosanacf,1977-09-02,"list(passo = 1, data = ""1977-09-02"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 14 9 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 4 10 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 18 10 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 19 10 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. FERRAZ CALDAS\nPUBLICAÇÃO: 29 9 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 14 10 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. KEMIL KUMAIRA\nPUBLICAÇÃO: (NÃO CONSTA)\nSANCIONADO\nPUBLICAÇÃO DA LEI: 17 11 1977"")",list(),list(),N,"list(id = 312, nome = ""DEPUTADO GOMES MOREIRA"", partido = ""MDB"")",NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/7138/1977,LEI 7138 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1341,GOVERNADOR DO ESTADO,"ESTIMA A RECEITA E FIXA A DESPESA DO ESTADO DE MINAS GERAIS PARA O
EXERCÍCIO DE 1978. (LOA 1978)",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-02,000146866,PL. 1341 1977 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,"ADMINISTRAÇÃO ESTADUAL
ORÇAMENTO",LEI 7160 1977 - LEI ORDINÁRIA,20131017,1511,rosanacf,1977-08-31,"list(passo = 1, data = ""1977-08-31"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 4 11 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 22 11 1977, COM EMENDAS\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 11 1977\nCOMISSÕES:\nFINANÇAS\nDISCUSSÃO ÚNICA\nRELATOR: DEP. VICENTE GUABIROBA\nPUBLICAÇÃO: 1 11 1977\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. VICENTE GUABIROBA\nPUBLICAÇÃO: 18 11 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. CARLOS LEMOS\nPUBLICAÇÃO: 1 12 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 16 12 1977"")",list(),list(),N,NULL,NA,NA,"ADMINISTRAÇÃO PÚBLICA
FINANÇAS PÚBLICAS",NA,"list(descricao = ""MSG 622 1977"")",/legislacao/mineira/LEI/7160/1977,LEI 7160 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1339,DEPUTADO FÁBIO VASCONCELLOS                ARENA,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DOS COMISSÁRIOS DE
VIGILÂNCIA DE MENORES E FUNCIONÁRIOS DA JUSTIÇA DE MENORES DE MINAS
GERAIS, COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1977-09-03,000146860,PL. 1339 1977 - PROJETO DE LEI,1197,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7144 1977 - LEI ORDINÁRIA,20120228,0826,rosanacf,1977-09-01,"list(passo = 1, data = ""1977-09-01"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 13 9 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 28 9 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 12 10 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 13 10 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MILTON LIMA\nPUBLICAÇÃO: 27 9 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 1 10 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: 15 10 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 17 11 1977"")",list(),list(),N,"list(id = 1197, nome = ""DEPUTADO FÁBIO VASCONCELLOS"", partido = ""ARENA"")",NA,NA,NA,NA,NULL,/legislacao/mineira/LEI/7144/1977,LEI 7144 1977 - LEI ORDINÁRIA,NA
Remissivo,1977,PROJETO DE LEI,PL,1338,DEPUTADO JORGE ORLANDO CARONE              MDB,"AUTORIZA O GOVERNO DO ESTADO A CRIAR A SECRETARIA DE ESTADO
DE MINAS E ENERGIA.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1977-09-02,000146867,PL. 1338 1977 - PROJETO DE LEI,1691,NA,NA,NA,20090402,0909,m17663,1977-08-31,"list(passo = 1, data = ""1977-08-31"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 16 9 1977\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1691, nome = ""DEPUTADO JORGE ORLANDO CARONE"", partido = ""MDB"")",ARQUIVO,19790131,NA,NA,NULL,NA,NA,NA
Remissivo,1977,PROJETO DE LEI,PL,1337,DEPUTADO GENÉSIO BERNARDINO                PMDB,DÁ DENOMINAÇÃO À ESCOLA ESTADUAL QUE MENCIONA (DE SANTOS DUMONT).,"DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, SANTOS DUMONT.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1977-09-02,000146868,PL. 1337 1977 - PROJETO DE LEI,1696,NA,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",NA,20120514,1440,rosanacf,1977-08-31,"list(passo = 1, data = ""1977-08-31"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 13 9 1977\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1696, nome = ""DEPUTADO GENÉSIO BERNARDINO"", partido = ""PMDB"")",ARQUIVO,19790131,NA,NA,NULL,NA,NA,NA
