dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,local,arquivamento,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,regime,indexacao,assuntoGeral,norma,tema,linksOrigem,legislacaoCitada,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao
Remissivo,PROJETO DE LEI,PL,971,1973,DEPUTADO GOMES MOREIRA                     MDB,"CRIA O SERVIÇO DE PRONTO SOCORRO BANCÁRIO DO IPSEMG E DÁ OUTRAS
PROVIDÊNCIAS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-12-01,000148576,PL. 971 1973 - PROJETO DE LEI,312,ARQUIVO,19750131,20090331,1001,m17663,1973-11-29,"list(passo = 1, data = ""1973-11-29"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 312, nome = ""DEPUTADO GOMES MOREIRA"", partido = ""MDB"")",NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,970,1973,DEPUTADO EURÍPEDES CRAIDE                  MDB,"ACRESCENTA PARÁGRAFO AO ART. TERCEIRO DA LEI 1195, DE 23.12.1954,
QUE DISPÕE SOBRE O IPSEMG. (ASSEGURA A INSCRIÇÃO OBRIGATÓRIA AO
CONTRIBUINTE INSCRITO COM MAIS DE CINQUENTA ANOS DE IDADE E QUE
VENHA PAGANDO SUAS CONTRIBUIÇÕES HÁ MAIS DE CINCO ANOS AO IPSEMG,
PARA EFEITO DE APOSENTADORIA OU PENSÃO).",PROJETO VETADO TOTALMENTE,PVETO,PROPOSIÇÕES APROVADAS,MAPRV,1973-12-01,000148577,PL. 970 1973 - PROJETO DE LEI,1187,NA,NA,19980101,NA,Carga,1973-11-29,"list(passo = 1, data = ""1973-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 16 8 1974\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 27 8 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 8 1974\nCOMISSÕES:\nSAÚDE\nPERDEU PRAZO.\nFINANÇAS\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. LÚCIO DE SOUZA CRUZ\nPUBLICAÇÃO: 28 6 1974\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. LUIZ BACCARINI\nPUBLICAÇÃO: 23 8 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOSÉ HONÓRIO\nPUBLICAÇÃO: 31 8 1974 E 13 9 1974\nVETADO TOTALMENTE\nPUBLICAÇÃO DAS RAZÕES DO VETO EM 20 9 1974\nVETO TOTAL MANTIDO."")",list(),list(),N,"list(id = 1187, nome = ""DEPUTADO EURÍPEDES CRAIDE"", partido = ""MDB"")",DELIBERAÇÃO DE PLENÁRIO,NA,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,969,1973,DEPUTADO BONIFÁCIO DE ANDRADA              ARENA,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DE PAIS E AMIGOS DOS
EXCEPCIONAIS, COM SEDE EM BAEPENDI.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-12-01,000148578,PL. 969 1973 - PROJETO DE LEI,281,ARQUIVO,19750131,20120307,1451,rosanacf,1973-11-29,"list(passo = 1, data = ""1973-11-29"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO POR REQUERIMENTO DO DEP. JOSÉ BONIFÁCIO FILHO.\nRECEBEU O NÚMERO PL 18 1975."")","list(expressao = ""(PL adj '18' adj 1975[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 18 1975"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2718%27+adj+1975%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 18, ano = 1975)",list(),N,"list(id = 281, nome = ""DEPUTADO BONIFÁCIO DE ANDRADA"", partido = ""ARENA"")",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BAEPENDI.",UTILIDADE PÚBLICA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,968,1973,DEPUTADO EURÍPEDES CRAIDE                  MDB,"DISPÕE SOBRE A ESTABILIDADE DE FUNCIONÁRIOS CONTRATADOS PELAS
REPARTIÇÕES ESTADUAIS",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-12-01,000148579,PL. 968 1973 - PROJETO DE LEI,1187,ARQUIVO,19750131,20090331,0950,m17663,1973-11-29,"list(passo = 1, data = ""1973-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1187, nome = ""DEPUTADO EURÍPEDES CRAIDE"", partido = ""MDB"")",NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,967,1973,DEPUTADO JOÃO NAVARRO                      ARENA,CRIA A ORDEM DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DE MINAS GERAIS.,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-12-01,000148580,PL. 967 1973 - PROJETO DE LEI,311,ARQUIVO,19750131,20150518,1137,m17461,1973-11-29,"list(passo = 1, data = ""1973-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 311, nome = ""DEPUTADO JOÃO NAVARRO"", partido = ""ARENA"")",NA,"CRIAÇÃO, ORDEM, (ALMG).",HOMENAGEM,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,966,1973,DEPUTADO WILSON TANURE                     MDB,"DECLARA DE UTILIDADE PÚBLICA O INSTITUTO REGINA PACIS, DE SETE LAGOAS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-12-01,000148581,PL. 966 1973 - PROJETO DE LEI,763,NA,NA,20120307,1450,rosanacf,1973-11-29,"list(passo = 1, data = ""1973-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 17 4 1974\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 10 5 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 17 5 1974\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. AMILCAR PADOVANI\nPUBLICAÇÃO: 27 3 1974\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 26 4 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. FÁBIO NOTINI\nPUBLICAÇÃO: 16 5 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 8 6 1974"")",list(),list(),N,"list(id = 763, nome = ""DEPUTADO WILSON TANURE"", partido = ""MDB"")",DELIBERAÇÃO DE PLENÁRIO,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, SETE LAGOAS.",UTILIDADE PÚBLICA,LEI 6330 1974 - LEI ORDINÁRIA,NA,NULL,NA,/legislacao/mineira/LEI/6330/1974,LEI 6330 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,965,1973,GOVERNADOR DO ESTADO,"DISPÕE SOBRE A CRIAÇÃO DE CARGOS PARA A IMPLANTAÇÃO DO SISTEMA DE
SECRETARIAS DE JUÍZO, EQUIPARA VENCIMENTOS E AUTORIZA A ABERTURA
DE CRÉDITOS ESPECIAIS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-12-01,000148582,PL. 965 1973 - PROJETO DE LEI,,NA,NA,20131021,1531,rosanacf,1973-11-29,"list(passo = 1, data = ""1973-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 3 4 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 8 4 1974\nCOMISSÕES:\nJUSTIÇA, SERVIÇO PÚBLICO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. VALDIR MELGAÇO\nPUBLICAÇÃO: 30 3 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 6 4 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 8 5 1974"")",list(),list(),N,NULL,DELIBERAÇÃO DE PLENÁRIO,"CRIAÇÃO, CARGO PÚBLICO, ESCRIVÃO JUDICIAL, ESCREVENTE, OFICIAL DE
JUSTIÇA, QUADRO DA JUSTIÇA, INCLUSÃO, QUADRO DE PESSOAL, SECRETARIA DE
JUÍZO, VARAS JUDICIÁRIAS, COMARCA DE BELO HORIZONTE, ESPECIFICAÇÃO,
QUANTIDADE, NÍVEL.
EQUIPARAÇÃO, NÍVEL, VENCIMENTOS, CARGO PÚBLICO, ESCRIVÃO, AUDITORIA DA
JUSTIÇA MILITAR.
AUTORIZAÇÃO, EXECUTIVO, ABERTURA, CRÉDITO ESPECIAL, JUDICIÁRIO,
IMPLANTAÇÃO, SISTEMA, SECRETARIA DE JUÍZO, COMARCA DE BELO HORIZONTE.","JUDICIÁRIO
PESSOAL",LEI 6306 1974 - LEI ORDINÁRIA,ADMINISTRAÇÃO PÚBLICA,"list(descricao = ""MSG 362 1973"")",NA,/legislacao/mineira/LEI/6306/1974,LEI 6306 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,964,1973,DEPUTADO VICENTE GUABIROBA                 ARENA,"DECLARA DE UTILIDADE PÚBLICA A ORDEM MISSIONÁRIA DOS CARMELITAS,
COM SEDE EM BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-12-01,000148583,PL. 964 1973 - PROJETO DE LEI,1464,NA,NA,20120307,1449,rosanacf,1973-11-29,"list(passo = 1, data = ""1973-11-29"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 15 4 1974\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 14 5 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 28 5 1974\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. VALDIR MELGAÇO\nPUBLICAÇÃO: 27 3 1974\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. TARCISIO DELGADO\nPUBLICAÇÃO: 26 4 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. FÁBIO NOTINI\nPUBLICAÇÃO: 23 5 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 7 6 1974"")",list(),list(),N,"list(id = 1464, nome = ""DEPUTADO VICENTE GUABIROBA"", partido = ""ARENA"")",DELIBERAÇÃO DE PLENÁRIO,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",UTILIDADE PÚBLICA,LEI 6328 1974 - LEI ORDINÁRIA,NA,NULL,NA,/legislacao/mineira/LEI/6328/1974,LEI 6328 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,963,1973,DEPUTADO JOÃO PEDRO GUSTIN                 ARENA,"DISPÕE SOBRE A PREVENÇÃO E CONTROLE DA POLUIÇÃO AMBIENTAL NO
ESTADO DE MINAS GERAIS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-11-30,000148584,PL. 963 1973 - PROJETO DE LEI,1462,ARQUIVO,19750131,20090331,0925,m17663,1973-11-28,"list(passo = 1, data = ""1973-11-28"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1462, nome = ""DEPUTADO JOÃO PEDRO GUSTIN"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,962,1973,DEPUTADO RUY DA COSTA VAL                  ARENA,"AUTORIZA DOAÇÃO OU ARRENDAMENTO DE IMÓVEIS (AMÉRICA FUTEBOL CLUBE
E CLUBE ATLÉTICO MINEIRO)",PROJETO VETADO TOTALMENTE,PVETO,PROPOSIÇÕES APROVADAS,MAPRV,1973-11-29,000148585,PL. 962 1973 - PROJETO DE LEI,1466,NA,NA,19980101,NA,Carga,1973-11-27,"list(passo = 1, data = ""1973-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 7 3 1974\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 16 10 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 24 10 1974\nCOMISSÕES:\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA)\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 1 12 1973\nFINANÇAS\nRELATOR: DEP. NARCÉLIO MENDES\nPERDEU PRAZO\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: 24 10 1974\nVETADO TOTALMENTE.\nPUBLICAÇÃO DAS RAZÕES DO VETO EM 19 11 1974.\nVETO TOTAL MANTIDO."")",list(),list(),N,"list(id = 1466, nome = ""DEPUTADO RUY DA COSTA VAL"", partido = ""ARENA"")",DELIBERAÇÃO DE PLENÁRIO,NA,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,961,1973,DEPUTADO RONALDO CANEDO                    ARENA,"AUTORIZA O PODER EXECUTIVO A REVERTER AO PATRIMÔNIO DO MUNICÍPIO
DE UBÁ, O IMÓVEL QUE MENCIONA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-11-29,000148586,PL. 961 1973 - PROJETO DE LEI,1170,NA,NA,19980101,NA,Carga,1973-11-27,"list(passo = 1, data = ""1973-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 9 4 1974\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 24 4 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 6 5 1974\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. VALDIR MELGAÇO\nPUBLICAÇÃO: 27 3 1974\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 20 4 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. MÁRIO ASSAD\nPUBLICAÇÃO: 1 5 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 29 5 1974"")",list(),list(),N,"list(id = 1170, nome = ""DEPUTADO RONALDO CANEDO"", partido = ""ARENA"")",DELIBERAÇÃO DE PLENÁRIO,NA,NA,LEI 6320 1974 - LEI ORDINÁRIA,NA,NULL,NA,/legislacao/mineira/LEI/6320/1974,LEI 6320 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,960,1973,DEPUTADO GERARDO RENAULT                   ARENA,"DECLARA DE UTILIDADE PÚBLICA A SOCIEDADE DOS AMIGOS DE TURMALINA,
COM SEDE EM TURMALINA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-11-29,000148587,PL. 960 1973 - PROJETO DE LEI,1176,ARQUIVO,19750131,20120307,1445,rosanacf,1973-11-27,"list(passo = 1, data = ""1973-11-27"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1176, nome = ""DEPUTADO GERARDO RENAULT"", partido = ""ARENA"")",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, TURMALINA.",UTILIDADE PÚBLICA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,959,1973,DEPUTADO GERARDO RENAULT                   ARENA,"DECLARA DE UTILIDADE PÚBLICA A CONGREGAÇÃO DOS PADRES PASSIONISTAS
PARA AS OBRAS SOCIAIS, DE BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-11-29,000148588,PL. 959 1973 - PROJETO DE LEI,1176,NA,NA,20120307,1444,rosanacf,1973-11-27,"list(passo = 1, data = ""1973-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 4 1974\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 9 5 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 20 5 1974\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. VALDIR MELGAÇO\nPUBLICAÇÃO: 27 3 1974\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. TARCISIO DELGADO\nPUBLICAÇÃO: 20 4 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NELSON LOMBARDI\nPUBLICAÇÃO: 18 5 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 6 6 1974"")",list(),list(),N,"list(id = 1176, nome = ""DEPUTADO GERARDO RENAULT"", partido = ""ARENA"")",DELIBERAÇÃO DE PLENÁRIO,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",UTILIDADE PÚBLICA,LEI 6325 1974 - LEI ORDINÁRIA,NA,NULL,NA,/legislacao/mineira/LEI/6325/1974,LEI 6325 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,958,1973,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A CONSTITUIR E ORGANIZAR A MINAS
TELECOMUNICAÇÕES, S. A., DISPÕE SOBRE SISTEMA ESTADUAL DE
TELECOMUNICAÇÕES E DÁ OUTRAS PROVIDÊNCIAS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-11-29,000148589,PL. 958 1973 - PROJETO DE LEI,,NA,NA,20131021,1532,rosanacf,1973-11-27,"list(passo = 1, data = ""1973-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 27 3 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 3 1974\nCOMISSÕES:\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA) (PERDERAM PRAZO)\nPERDEU PRAZO\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 3 4 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 5 4 1974"")",list(),list(),N,NULL,DELIBERAÇÃO DE PLENÁRIO,NA,"TELECOMUNICAÇÃO
EMPRESA PÚBLICA",LEI 6281 1974 - LEI ORDINÁRIA,"ADMINISTRAÇÃO PÚBLICA
COMUNICAÇÃO","list(descricao = ""MSG 358 1973"")",NA,/legislacao/mineira/LEI/6281/1974,LEI 6281 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,957,1973,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A CONSTITUIR E ORGANIZAR EMPRESA
PÚBLICA PARA O DESENVOLVIMENTO E EXECUÇÃO DE PESQUISAS NO SETOR
DA AGROPECUÁRIA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-11-29,000148590,PL. 957 1973 - PROJETO DE LEI,,NA,NA,20131021,1533,rosanacf,1973-11-27,"list(passo = 1, data = ""1973-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 25 4 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 26 4 1974\nCOMISSÕES:\nJUSTIÇA, AGROPECUÁRIA E FINANÇAS (REUNIÃO CONJUNTA)\nPERDEU PRAZO\nJUSTIÇA, AGROPECUÁRIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 20 4 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 27 4 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 9 5 1974"")",list(),list(),N,NULL,DELIBERAÇÃO DE PLENÁRIO,NA,"EMPRESA PÚBLICA
AGROPECUÁRIA",LEI 6310 1974 - LEI ORDINÁRIA,"ADMINISTRAÇÃO PÚBLICA
AGROPECUÁRIA","list(descricao = ""MSG 357 1973"")",NA,/legislacao/mineira/LEI/6310/1974,LEI 6310 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,956,1973,DEPUTADO LOURIVAL BRASIL                   ARENA,"CONCEDE O TÍTULO DE CIDADÃO HONORÁRIO DO ESTADO DE MINAS GERAIS
AO SR. ANTONIO GERPE GARCIA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-11-28,000148591,PL. 956 1973 - PROJETO DE LEI,322,NA,NA,20150518,1135,m17461,1973-11-26,"list(passo = 1, data = ""1973-11-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 16 5 1974\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 27 5 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 3 6 1974\nCOMISSÕES:\nCONSELHO PERMANENTE DA MEDALHA DA INCONFIDÊNCIA\nRELATOR: CONSELHEIRO CEL. P.M. VICENTE GOMES DA MOTA\nPARECER FAVORÁVEL\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: NÃO CONSTA\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MARCOS TITO\nPUBLICAÇÃO: 23 5 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NELSON LOMBARDI\nPUBLICAÇÃO: 1 6 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 20 6 1974"")",list(),list(),N,"list(id = 322, nome = ""DEPUTADO LOURIVAL BRASIL"", partido = ""ARENA"")",DELIBERAÇÃO DE PLENÁRIO,"CONCESSÃO HONORÍFICA, TÍTULO, CIDADÃO.",HOMENAGEM,LEI 6338 1974 - LEI ORDINÁRIA,NA,NULL,NA,/legislacao/mineira/LEI/6338/1974,LEI 6338 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,955,1973,DEPUTADO SYLO COSTA                        ARENA,"DECLARA DE UTILIDADE PÚBLICA O CLUBE ESPORTIVO CAMPESTRE DE SALINAS,
COM SEDE EM SALINAS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-11-28,000148592,PL. 955 1973 - PROJETO DE LEI,978,ARQUIVO,19750131,20120307,1442,rosanacf,1973-11-26,"list(passo = 1, data = ""1973-11-26"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 978, nome = ""DEPUTADO SYLO COSTA"", partido = ""ARENA"")",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, SALINAS.",UTILIDADE PÚBLICA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,954,1973,DEPUTADO MORVAN ACAYABA                    ARENA,"DISPÕE SOBRE A COMPOSIÇÃO E A NOMEAÇÃO DE CONSELHEIROS PARA O
CONSELHO ESTADUAL DE EDUCAÇÃO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-11-24,000148593,PL. 954 1973 - PROJETO DE LEI,1460,ARQUIVO,19750131,20090331,0904,m17663,1973-11-22,"list(passo = 1, data = ""1973-11-22"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 27 5 1974\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: 27 3 1974\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1460, nome = ""DEPUTADO MORVAN ACAYABA"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,953,1973,DEPUTADO EURÍPEDES CRAIDE                  MDB,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO DE PAIS E AMIGOS DOS
EXCEPCIONAIS DE UBERABA - (APAE).",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1973-11-24,000148594,PL. 953 1973 - PROJETO DE LEI,1187,ARQUIVO,19750131,20120307,1442,rosanacf,1973-11-22,"list(passo = 1, data = ""1973-11-22"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1187, nome = ""DEPUTADO EURÍPEDES CRAIDE"", partido = ""MDB"")",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, UBERABA.",UTILIDADE PÚBLICA,NA,NA,NULL,NA,NA,NA,NA
